,Genre,Plot,Title
576,Comedy,"Still craving for the love of his life, Ted Striker follows Elaine onto the flight that she is working on as a member of the cabin crew. Elaine doesn't want to be with Ted anymore, but when the crew and passengers fall ill from food poisoning, all eyes are on Ted.                ",Airplane!
577,"Action, Adventure, Crime","A well respected Chicago surgeon Dr. Richard Kimble has found out that his wife, Helen, has been murdered ferociously in her own home. The police found Kimble and accused him of the murder. Then, Kimble (without Justifiable Reason) was tried, convicted, and sentenced to death. However, on the way to prison, Kimble's transport crashed. Kimble escapes and is now on the run. Deputy Samuel Gerard from Chicago takes charge of the chase of Kimble. Meanwhile, Kimble makes up his own investigation to find who really killed his wife, and to lure Gerard and his team into it as well.                ",The Fugitive
578,"Action, Drama, History","Tells the story of the D-Day invasion of Normandy in WWII. There are dozens of characters, some seen only briefly, who together weave the story of five separate invasion points that made up the operation.                ",The Longest Day
579,Drama,"This film follows the life of Celie, a young black girl growing up in the early 1900's. The first time we see Celie, she is 14 - and pregnant - by her father. We stay with her for the next 30 years of her tough life...                ",The Color Purple
580,"Comedy, Drama","A collection of five stories involving cab drivers in five different cities. Los Angeles - A talent agent for the movies discovers her cab driver would be perfect to cast, but the cabbie is reluctant to give up her solid cab driver's career. New York - An immigrant cab driver is continually lost in a city and culture he doesn't understand. Paris - A blind girl takes a ride with a cab driver from the Ivory Coast and they talk about life and blindness. Rome - A gregarious cabbie picks up an ailing man and virtually talks him to death. Helsinki - an industrial worker gets laid off and he and his compatriots discuss the bleakness and unfairness of love and life and death.                ",Night on Earth
581,"Action, Adventure, Sci-Fi","For Steve Rogers, awakening after decades of suspended animation involves more than catching up on pop culture; it also means that this old school idealist must face a world of subtler threats and difficult moral complexities. That becomes clear when Director Nick Fury is killed by the mysterious assassin, the Winter Soldier, but not before warning Rogers that SHIELD has been subverted by its enemies. When Rogers acts on Fury's warning to trust no one there, he is branded as a traitor by the organization. Now a fugitive, Captain America must get to the bottom of this deadly mystery with the help of the Black Widow and his new friend, The Falcon. However, the battle will be costly for the Sentinel of Liberty, with Rogers finding enemies where he least expects them while learning that the Winter Soldier looks disturbingly familiar.                ",Captain America: The Winter Soldier
582,"Action, Adventure, Sci-Fi","Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were archenemies, they were closest of friends, working together, with other Mutants (some familiar, some new), to stop the greatest threat the world has ever known. In the process, a rift between them opened, which began the eternal war between Magneto's Brotherhood and Professor X's X-MEN.                ",X-Men: First Class
583,Comedy,"Angelenos Doug Billings and Tracy Garner are about to get married. Two days before the wedding, the four men in the wedding party - Doug, Doug's two best buddies Phil Wenneck and Stu Price, and Tracy's brother Alan Garner - hop into Tracy's father's beloved Mercedes convertible for a 24-hour stag party to Las Vegas. Phil, a married high school teacher, has the same maturity level as his students when he's with his pals. Stu, a dentist, is worried about everything, especially what his controlling girlfriend Melissa thinks. Because she disapproves of traditional male bonding rituals, Stu has to lie to her about the stag, he telling her that they are going on a wine tasting tour in the Napa Valley. Regardless, he intends on eventually marrying her, against the advice and wishes of his friends. And Alan seems to be unaware of what are considered the social graces of the western world. The morning after their arrival in Las Vegas, they awaken in their hotel suite each with the worst ...                ",The Hangover
584,Drama,"Frank Galvin was once a promising Boston lawyer with a bright future ahead. An incident early in his career in which he was trying to do the right thing led to him being fired from the prestigious law firm with which he was working, almost being disbarred, and his wife leaving him. Continually drowning his sorrows in booze, he is now an ambulance chasing lawyer, preying on the weak and vulnerable, and bending the truth whenever necessary to make what few dollars he has, as he has only had a few cases in the last few years, losing the last four. His only friend in the profession is his now retired ex-partner, Mickey Morrissey, who gets Frank a case, his fee solely a percentage of what his clients are awarded. The case should net Frank tens of thousands of dollars by settling out of court, that money which would at least get him back on his feet. It is a negligence suit brought on behalf of Deborah Ann Kaye by her sister and brother-in-law, Sally and Kevin Doneghy, against St. Catherine...                ",The Verdict
585,"Crime, Drama","In the rural area around the Anatolian town of Keskin, the local prosecutor, police commissar, and doctor lead a search for a victim of a murder to whom a suspect named Kenan and his mentally challenged brother confessed. However, the search is proving more difficult than expected as Kenan is fuzzy as to the body's exact location. As the group continues looking, its members can't help but chat among themselves about both trivia and their deepest concerns in an investigation that is proving more trying than any of them expected.                ",Once Upon a Time in Anatolia
586,"Animation, Adventure, Comedy","Wreck-It Ralph longs to be as beloved as his game's perfect Good Guy, Fix-It Felix. Problem is, nobody loves a Bad Guy. But they do love heroes... so when a modern, first-person shooter game arrives featuring tough-as-nails Sergeant Calhoun, Ralph sees it as his ticket to heroism and happiness. He sneaks into the game with a simple plan -- win a medal -- but soon wrecks everything, and accidentally unleashes a deadly enemy that threatens every game in the arcade. Ralph's only hope? Vanellope von Schweetz, a young troublemaking ""glitch"" from a candy-coated cart racing game who might just be the one to teach Ralph what it means to be a Good Guy. But will he realize he is good enough to become a hero before it's ""Game Over"" for the entire arcade?                ",Wreck-It Ralph
587,"Biography, Drama, History","A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.                ",The Last Emperor
588,"Action, Adventure, Comedy",A super-secret spy organization recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.                ,Kingsman: The Secret Service
589,"Animation, Comedy, Musical","When four boys in South Park Stan Marsh, Kyle and his stepbrother Ike Broflovski, Eric Cartman, and Kenny McCormick sees an R-rated movie featuring Canadians ""Terrance & Phillip: Asses of Fire"", they are pronounced ""corrupted"", and Kyle's mom Sheila with the rest of the parents pressure the United States to wage war against Canada for World War 3! It's all up to Stan, Kyle and Cartman to save Terrence and Phillip before Satan and his lover Saddam Hussein from Hell rules the world and it'll be the end of the whole world.                ",South Park: Bigger Longer & Uncut
590,"Comedy, Family, Fantasy","The movie combines songs, color and sequences of live action blended with the movements of animated figures. Mary Poppins is a kind of Super-nanny who flies in with her umbrella in response to the request of the Banks children and proceeds to put things right with the aid of her rather extraordinary magical powers.                ",Mary Poppins
591,Drama,"Bob Harris is an American film actor, far past his prime. He visits Tokyo to appear in commercials, and he meets Charlotte, the young wife of a visiting photographer. Bored and weary, Bob and Charlotte make ideal if improbable traveling companions. Charlotte is looking for ""her place in life,"" and Bob is tolerating a mediocre stateside marriage. Both separately and together, they live the experience of the American in Tokyo. Bob and Charlotte suffer both confusion and hilarity due to the cultural and language differences between themselves and the Japanese. As the relationship between Bob and Charlotte deepens, they come to the realization that their visits to Japan, and one another, must soon end. Or must they?                ",Lost in Translation
592,"Crime, Drama","John Singleton's portrayal of social problems in inner-city Los Angeles takes the form of a tale of three friends growing up together 'in the 'hood.' Half-brothers Doughboy and Ricky Baker are foils for each other's personality, presenting very different approaches to the tough lives they face. Ricky is the 'All-American' athlete, looking to win a football scholarship to USC and seeks salvation through sports, while 'Dough' succumbs to the violence, alcohol, and crime surrounding him in his environment, but maintains a strong sense of pride and code of honor. Between these two is their friend Tre, who is lucky to have a father, 'Furious' Styles, to teach him to have the strength of character to do what is right and to always take responsibility for his actions.                ",Boyz n the Hood
593,"Action, Comedy, Crime","Set in Canton, China in the 1940s, the story revolves in a town ruled by the Axe Gang, Sing who desperately wants to become a member. He stumbles into a slum ruled by eccentric landlords who turns out to be the greatest kung-fu masters in disguise. Sing's actions eventually cause the Axe Gang and the slumlords to engage in an explosive kung-fu battle. Only one side will win and only one hero will emerge as the greatest kung-fu master of all.                ",Kung Fu Hustle
594,Thriller,"In Paris, the shy bureaucrat Trelkovsky rents an old apartment without bathroom where the previous tenant, the Egyptologist Simone Choule, committed suicide. The unfriendly concierge (Shelley Winters) and the tough landlord Mr. Zy establish stringent rules of behavior and Trelkovsky feels ridden by his neighbors. Meanwhile he visits Simone in the hospital and befriends her girlfriend Stella. After the death of Simone, Trelkovsky feels obsessed for her and believes his landlord and neighbors are plotting a scheme to force him to also commit suicide.                ",The Tenant
595,"Drama, Mystery, Thriller","Nicholas Van Orton is a very wealthy San Francisco banker, but he is an absolute loner, even spending his birthday alone. In the year of his 48th birthday (the age his father committed suicide) his brother Conrad, who has gone long ago and surrendered to addictions of all kinds, suddenly returns and gives Nicholas a card giving him entry to unusual entertainment provided by something called Consumer Recreation Services (CRS). Giving up to curiosity, Nicholas visits CRS and all kinds of weird and bad things start to happen to him.                ",The Game
596,"Crime, Thriller","Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. Lola has 20 min to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.                ",Run Lola Run
597,"Crime, Drama, Mystery","In an airport waiting room, a man in a wheelchair tells a stranger a story about a fixed horse race in 1979 that resulted in a family's deaths. In Manhattan, two bookies and the son of a Mob boss die. A young man just out of the shower answers the door to a neighbor woman and explains that he's visiting, has had a bad week, including being mugged, and doesn't know where his pal, who lives there, is. The neighbor is chatty; she's a coroner. Two thugs arrive and, believing the visitor to be the guy who lives there, take him to see the boss with the dead son, who tells him to kill the son of his Mob rival. Mistaken identity? What connects the threads? Cops are watching.                ",Lucky Number Slevin
598,"Comedy, Drama, Fantasy","Puppeteer Craig Schwartz and animal lover and pet store clerk Lotte Schwartz are just going through the motions of their marriage. Despite not being able to earn a living solely through puppeteering, Craig loves his profession as it allows him to inhabit the skin of others. He begins to take the ability to inhabit the skin of others to the next level when he is forced to take a job as a file clerk for the off-kilter LesterCorp, located on the five-foot tall 7½ floor of a Manhattan office building. Behind one of the filing cabinets in his work area, Craig finds a hidden door which he learns is a portal into the mind of <a href=""/name/nm0000518?ref_=tt_stry_pl"">John Malkovich</a>, the visit through the portal which lasts fifteen minutes after which the person is spit into a ditch next to the New Jersey Turnpike. Craig is fascinated by the meaning of life associated with this finding. Lotte's trips through the portal make her evaluate her own self. And the confident Maxine Lund, one of Craig's co-workers who he tells about the ...                ",Being John Malkovich
599,"Drama, Romance, War","It's 1941. Robert E. Lee Prewitt has requested Army transfer and has ended up at Schofield in Hawaii. His new captain, Dana Holmes, has heard of his boxing prowess and is keen to get him to represent the company. However, 'Prew' is adamant that he doesn't box anymore, so Captain Holmes gets his subordinates to make his life a living hell. Meanwhile Sergeant Warden starts seeing the captain's wife, who has a history of seeking external relief from a troubled marriage. Prew's friend Maggio has a few altercations with the sadistic stockade Sergeant 'Fatso' Judson, and Prew begins falling in love with social club employee Lorene. Unbeknownst to anyone, the Japanese bombing of Pearl Harbor looms in the distance.                ",From Here to Eternity
600,"Drama, Thriller","The movie is based on the infamous ""Stanford Prison Experiment"" conducted in 1971. A makeshift prison is set up in a research lab, complete with cells, bars and surveillance cameras. For two weeks 20 male participants are hired to play prisoners and guards. The 'prisoners' are locked up and have to follow seemingly mild rules, and the 'guards' are told simply to retain order without using physical violence. Everybody is free to quit at any time, thereby forfeiting payment. In the beginning the mood between both groups is insecure and rather emphatic. But soon quarrels arise and the wardens employ ever more drastic sanctions to confirm their authority.                ",The Experiment
601,"Biography, Drama","1969. Dr. Malcolm Sayer is hired as a clinical physician at a psychiatric hospital in the Bronx, despite he only having a research background. The job is not ideal on his side as he has difficulties relating to people which is the reason he has focused on research projects not involving human subjects, while the hospital hires him somewhat out of desperation in not finding anyone else with the qualifications who wants the job. Most of his patients are in a semi-catatonic state and are housed in what some of the orderlies coin the ""garden"" ward, where all they can do for the patients is water and feed them. He notices that some of the patients, despite their generally catatonic state, respond in unusual ways to certain stimuli. In doing some research, he also finds that some common bonds between these patients are that they suffered from encephalitis in the 1920s or 1930s, and that their physical states are like they have Parkinson's disease frozen in time. As such, he is able to ...                ",Awakenings
602,"Drama, Romance","What's Eating Gibert Grape is a beautifully shot movie of tenderness, caring and self-awareness that is set amongst the fictional working class one street town Endora. Centred around the Grape family Ellen and Amy and their two brothers Arnie and Gilbert, who, along with their morbidly obese widowed mother Bonnie Grape are striving to survive and coexist with the absence of a father figure, low wage work and seventeen-year-old Arnie's severe mental condition. It is in this awkward and extremely one sided affair that the unfortunate Gilbert has to constantly, while working for the town's slowly dying convenience store, take care of his younger brother Arnie. Gilbert's life, his future, is thwarted he knows this, but it is in this guardian angel that his love and bond for Arnie cannot, and will not, be let go. That is until the free spirit of Becky arrives in town, and with her grandmother are stranded for the week while waiting for parts for their vehicle. This realization unties new ...                ",What's Eating Gilbert Grape
603,"Comedy, Western","The Ultimate Western Spoof. A town where everyone seems to be named Johnson is in the way of the railroad. In order to grab their land, Hedley Lemar, a politically connected nasty person, sends in his henchmen to make the town unlivable. After the sheriff is killed, the town demands a new sheriff from the Governor. Hedley convinces him to send the town the first Black sheriff in the west. Bart is a sophisticated urbanite who will have some difficulty winning over the townspeople.                ",Blazing Saddles
604,"Biography, Crime, Drama","This true story follows FBI agent Joe Pistone as he infiltrates the mafia of New York. Befriending Lefty Ruggiero, Pistone (under the name Donnie Brasco) is able to embed himself in a mafia faction led by Sonny Black. Ruggiero and Pistone become tight as the group goes about collecting money for 'the bosses'. Eventually, the group become big-time when Black himself becomes a boss; all the while, Pistone collects evidence. However, the trials and tribulations of the undercover work become more than Pistone can bear. His marriage falls apart, and to top it off, the mafia suspect a mole in the organization. The real dilemma is afforded to Pistone, who knows if he walks away from the mafia, Ruggiero will be the one punished.                ",Donnie Brasco
605,"Biography, Crime, Drama","Serpico is a cop in the 1960s-early 1970s. Unlike all his colleagues, he refuses a share of the money that the cops routinely extort from local criminals. Nobody wants to work with Serpico, and he's in constant danger of being placed in life threatening positions by his ""partners"". Nothing seems to get done even when he goes to the highest of authorities. Despite the dangers he finds himself in, he still refuses to 'go with the flow', in the hope that one day, the truth will be known.                ",Serpico
606,"Action, Adventure, Thriller","When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve (Naomie Harris) - following a trail to the mysterious Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves.                ",Skyfall
607,"Comedy, Drama, Romance","Holly Golightly is a flighty Manhattan party girl, who expects ""money for the powder room as well as for cab fare"" for her companionship. She has even gotten a lucrative once weekly job to visit notorious convict Sally Tomato in Sing Sing, she needing to report back to Sally's lawyer the weather report that Sally tells her as proof of her visits with him in return for payment. Her aspirations for glamor and wealth are epitomized by the comfort she feels at Tiffany's, the famous high end jewelry retailer where she believes nothing can ever go wrong. Her resolve for this wealth is strengthened, if not changed slightly in focus, upon news from home. Into Holly's walk-up apartment building and thus her life is Paul Varjak, a writer who Holly states reminds her of her brother Fred, who she has not seen in years and who is currently enlisted in the army. The two quickly become friends in their want for something outside of their current lot. Paul's situation is closer to Holly's than he ...                ",Breakfast at Tiffany's
608,"Crime, Mystery, Thriller","1327: after a mysterious death in a Benedictine Abbey, the monks are convinced that the apocalypse is coming. With the Abbey to play host to a council on the Franciscan's Order's belief that the Church should rid itself of wealth, William of Baskerville, a respected Franciscan monk, is asked to assist in determining the cause of the untimely death. Alas, more deaths occur as the investigation draws closer to uncovering the secret the Abbey wants hidden, and there is finally no stopping the Holy Inquisition from taking an active hand in the process. William and his young novice must race against time to prove the innocence of the unjustly accused and avoid the wrath of Holy Inquisitor Bernardo Gui.                ",The Name of the Rose
609,"Biography, Comedy, Drama","In 1984 20 year old closet gay Joe hesitantly arrives in London from Bromley for his first Gay Pride march and is taken under the collective wing of a group of gay men and Lesbian Steph, who meet at flamboyant Jonathan and his Welsh partner Gethin's Soho bookshop. Not only are gays being threatened by Thatcher but the miners are on strike in response to her pit closures and Northern Irish activist Mark Ashton believes gays and miners should show solidarity. Almost by accident a mini-bus full of gays find themselves in the Welsh village of Onllwyn in the Dulais valley and through their sincere fund raising and Jonathan's nifty disco moves persuade most of the community that they are on the same side. When a bigot tries to sabotage the partnership with a tabloid smear Mark turns it back on her with a hugely successful benefit concert to which most of the villagers, now thoroughly in tune with their gay friends, turn up. The miners are defeated and return to work but at the Pride march ...                ",Pride
610,"Drama, Music, Romance","Elise and Didier fall in love at first sight. She has her own tattoo shop and he plays the banjo in a bluegrass band. They bond over their shared enthusiasm for American music and culture, and dive headfirst into a sweeping romance that plays out on and off stage - but when an unexpected tragedy hits their new family, everything they know and love is tested. An intensely moving portrait of a relationship from beginning to end, propelled by a soundtrack of foot-stomping bluegrass, The Broken Circle Breakdown is a romantic melodrama of the highest order.                ",The Broken Circle Breakdown
611,"Comedy, Drama, Family","Scotty Smalls moves to a new neighborhood with his mom and stepdad, and wants to learn to play baseball. The neighborhood baseball guru Rodriquez takes Smalls under his wing, and soon he's part of the local baseball buddies. They fall into adventures involving baseball, treehouse sleep-ins, the desirous lifeguard at the local pool, the snooty rival ball team, and the travelling fair. Beyond the fence at the back of the sandlot menaces a legendary ball-eating dog called The Beast, and the kids inevitably must deal with him.                ",The Sandlot
612,"Crime, Drama, Mystery","Los Angeles, 1928. A single mother returns from work to find her nine-year-old son gone. She calls the LAPD to initiate a search. Five months later, a boy is found in Illinois who fits the description; he says he's her son. To fanfare and photos, the LAPD reunite mother and son, but she insists he's not her boy. The cops dismiss her as either a liar or hysterical. When she joins a minister in his public criticism of the police, they in turn use government power to silence and intimidate her. Meanwhile, a cop goes to a dilapidated ranch to find a Canadian lad who's without legal status; the youth tells a grisly tale. There's redress for murder; is there redress for abuse of power?                ",Changeling
613,"Action, Adventure, Thriller","Bond is back and his next mission takes him to Fort Knox, where Auric Goldfinger and his henchman are planning to raid Fort Knox and obliterate the world economy. To save the world once again, Bond will need to become friends with Goldfinger, dodge killer hats and avoid Goldfinger's personal pilot, the sexy Pussy Galore. She might not have feelings for Bond, but will 007 help her change her mind?                ",Goldfinger
614,"Action, Thriller","After escaping from the emotional and physical pain he previously encountered. Jason Bourne and his girlfriend Marie begin a new life as far away as possible. But when an assassination attempt on Bourne goes horribly wrong, Bourne must re-enter the life he wanted to leave behind, in order to find out the truth why they are still after him.                ",The Bourne Supremacy
615,"Biography, Drama, Family","The movie details the experiences of ""Peter Pan"" author <a href=""/name/nm0057381?ref_=tt_stry_pl"">J.M. Barrie</a>, which lead him to write the children's classic. He got to know four children who have no father. Drawing from his time with the kids, he writes a story about children who don't want to grow up.                ",Finding Neverland
616,"Action, Crime, Drama","When drug violence worsens on the USA Mexico border, the FBI sends an idealistic agent, Kate Macer (Emily Blunt) on a mission to eradicate a drug cartel responsible for a bomb that had killed members of her team.                ",Sicario
617,Drama,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy. When he has learned to adjust his life to these new responsibilities, Joanna resurfaces and wants Billy back. Ted, however, refuses to give him up, so they go to court to fight for the custody of their son.                ",Kramer vs. Kramer
618,"Comedy, Drama, Romance","After it looks as if she's left his life for good this time, Tom Hansen reflects back on the just over one year that he knew Summer Finn. For Tom, it was love at first sight when she walked into the greeting card company where he worked, she the new administrative assistant. Soon, Tom knew that Summer was the woman with whom he wanted to spend the rest of his life. Although Summer did not believe in relationships or boyfriends - in her assertion, real life will always ultimately get in the way - Tom and Summer became more than just friends. Through the trials and tribulations of Tom and Summer's so-called relationship, Tom could always count on the advice of his two best friends, McKenzie and Paul. However, it is Tom's adolescent sister, Rachel, who is his voice of reason. After all is said and done, Tom is the one who ultimately has to make the choice to listen or not.                ",(500) Days of Summer
619,"Adventure, Crime, Drama","Rancher Dan Evans heads into Bisbee to clear up issues concerning the sale of his land when he witnesses the closing events of a stagecoach robbery led by famed outlaw Ben Wade. Shortly thereafter, Wade is captured by the law in Bisbee and Evans finds himself one of the escorts who will take Wade to the 3:10 to Yuma train in Contention for the reward of $200. Evans's effort to take Wade to the station is in part an effort to save his land but also part of an inner battle to determine whether he can be more than just a naive rancher in the eyes of his impetuous and gunslinging son William Evans. The transport to Contention is hazardous and filled with ambushes by Indians, pursuits by Wade's vengeful gang and Wade's own conniving and surreptitious demeanor that makes the ride all the more intense.                ",3:10 to Yuma
620,"Biography, Drama, History","In 1979, the American embassy in Iran was invaded by Iranian revolutionaries and several Americans were taken hostage. However, six managed to escape to the official residence of the Canadian Ambassador and the CIA was ordered to get them out of the country. With few options, exfiltration expert Tony Mendez devised a daring plan: create a phony Canadian film project looking to shoot in Iran and smuggle the Americans out as its production crew. With the help of some trusted Hollywood contacts, Mendez created the ruse and proceeded to Iran as its associate producer. However, time was running out with the Iranian security forces closing in on the truth while both his charges and the White House had grave doubts about the operation themselves.                ",Argo
621,"Biography, Comedy, Drama","Pablo Neruda, the famous Chilean poet, is exiled to a small island for political reasons. On the island, the unemployed son of a poor fisherman is hired as an extra postman due to the huge increase in mail that this causes. Il Postino is to hand-deliver the celebrity's mail to him. Though poorly educated, the postman learns to love poetry and eventually befriends Neruda. Struggling to grow and express himself more fully, he suddenly falls in love and needs Neruda's help and guidance more than ever.                ",Il Postino: The Postman
622,"Crime, Thriller","Danny Ocean wants to score the biggest heist in history. He combines an eleven member team, including Frank Catton, Rusty Ryan and Linus Caldwell. Their target? The Bellagio, the Mirage and the MGM Grand. All casinos owned by Terry Benedict. It's not going to be easy, as they plan to get in secretly and out with $150 million.                ",Ocean's Eleven
623,"Adventure, Comedy, Drama","""NEBRASKA"" is a father and son road trip, from Billings, Montana to Lincoln, Nebraska that gets waylaid at a small town in central Nebraska, where the father grew up and has scores to settle. Told with deadpan humor and a unique visual style, it's ultimately the story of a son trying to get through to a father he doesn't understand.                ",Nebraska
624,"Biography, Drama, Sport","Suburban Virginia schools have been segregated for generations. One Black and one White high school are closed and the students sent to T.C. Williams High School under federal mandate to integrate. The year is seen through the eyes of the football team where the man hired to coach the Black school is made head coach over the highly successful white coach. Based on the actual events of 1971, the team becomes the unifying symbol for the community as the boys and the adults learn to depend on and trust each other.                ",Remember the Titans
625,"Crime, Drama","Gangster Sonny is the big man in the Bronx neighborhood of an Italian small boy named Calogero. A shooting witnessed by the boy (nicknamed C) is the starting point of a lasting bond between the gangster and the boy. Father (bus driver Lorenzo), however, disapproves. C grows up under the wing of both men, torn between his own natural honesty and his fascination with Sonny. C's neighborhood cronies get involved in theft, use of guns, and racial fights. When C falls for an African American girl, things don't get any easier. C's leap to manhood is marked by tragedy, but also by his recognition of the many faces of love.                ",A Bronx Tale
626,"Comedy, Fantasy, Romance","Cecilia is a waitress in New Jersey during the Depression and is searching for an escape from her dreary life. Tom Baxter is a dashing young archaeologist in the film ""The Purple Rose of Cairo."" After losing her job Cecilia goes to see the film in hopes of raising her spirits. Much to her surprise Tom Baxter walks off the screen and into her life. There's only one problem..Tom isn't real. Meanwhile Hollywood is up in arms when they dicover that other Tom Baxters are trying to leave the screen in other theatres. Will Tom ever return and finish the film or will he decide to stay in the real world?                ",The Purple Rose of Cairo
627,"Biography, Drama","On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications.                ",The Social Network
628,"Comedy, Drama","Rupert Pupkin is obsessed with becoming a comedy great. However, when he confronts his idol, talk show host Jerry Langford, with a plea to perform on the Jerry's show, he is only given the run-around. He does not give up, however, but persists in stalking Jerry until he gets what he wants. Eventually he must team up with his psychotic Langford-obsessed friend Masha to kidnap the talk show host in hopes of finally getting to perform his stand-up routine.                ",The King of Comedy
629,"Biography, Drama, Music","Ian Curtis is a quiet and rather sad lad who works for an employment agency and sings in a band called Warsaw. He meets a girl named Debbie whom he promptly marries and his band, of which the name in the meantime has been changed to Joy Division, gets more and more successful. Even though Debbie and he become parents, their relationship is going downhill rapidly and Ian starts an affair with Belgium Annik whom he met after one of the gigs and he's almost never at home. Ian also suffers from epilepsy and has no-good medication for it. He doesn't know how to handle the feelings he has for Debbie and Annik and the pressure the popularity of Joy Division and the energy performing costs him.                ",Control
630,"Adventure, Drama, Thriller","The Cahulawassee River valley in Northern Georgia is one of the last natural pristine areas of the state, which will soon change with the imminent building of a dam on the river, which in turn will flood much of the surrounding land. As such, four Atlanta city slickers - alpha male Lewis Medlock, generally even-keeled Ed Gentry, slightly condescending Bobby Trippe, and wide-eyed Drew Ballinger - decide to take a multi-day canoe trip on the river, with only Lewis and Ed having experience in outdoor life. They know going in that the area is ethno-culturally homogeneous and isolated, but don't understand the full extent of such until they arrive and see what they believe is the result of generations of inbreeding. Their relatively peaceful trip takes a turn for the worse when half way through they encounter a couple of hillbilly moonshiners. That encounter not only makes the four battle their way out of the valley intact and alive, but threatens the relationships of the four as they do ...                ",Deliverance
631,"Comedy, Drama, Romance","New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.                ",As Good as It Gets
632,Horror,"Melanie Daniels is the modern rich socialite, part of the jet-set who always gets what she wants. When lawyer Mitch Brenner sees her in a pet shop, he plays something of a practical joke on her, and she decides to return the favor. She drives about an hour north of San Francisco to Bodega Bay, where Mitch spends the weekends with his mother Lydia and younger sister Cathy. Soon after her arrival, however, the birds in the area begin to act strangely. A seagull attacks Melanie as she is crossing the bay in a small boat, and then, Lydia finds her neighbor dead, obviously the victim of a bird attack. Soon, birds in the hundreds and thousands are attacking anyone they find out of doors. There is no explanation as to why this might be happening, and as the birds continue their vicious attacks, survival becomes the priority.                ",The Birds
633,"Comedy, Drama, Romance","East Germany, the year 1989: A young man protests against the regime. His mother watches the police arresting him and suffers a heart attack and falls into a coma. Some months later, the GDR does not exist anymore and the mother awakes. Since she has to avoid every excitement, the son tries to set up the GDR again for her in their flat. But the world has changed a lot.                ",Good Bye Lenin!
634,"Action, Fantasy, War","In the Battle of Thermopylae of 480 BC an alliance of Greek city-states fought the invading Persian army in the mountain pass of Thermopylae. Vastly outnumbered, the Greeks held back the enemy in one of the most famous last stands of history. Persian King Xerxes lead a Army of well over 100,000 (Persian king Xerxes before war has about 170,000 army) men to Greece and was confronted by 300 Spartans, and several hundred Arcadians. Xerxes waited for 10 days for King Leonidas to surrender or withdraw left with no options he moved. The battle lasted for about 3 days and after which all 300 Spartans were killed. The Spartan defeat was not the one expected, as a local shepherd, named Ephialtes, defected to the Persians and informed Xerxes of a separate path through Thermopylae, which the Persians could use to outflank the Greeks.                ",300
635,"Action, Crime, Drama","A wave of kidnappings has swept through Mexico, feeding a growing sense of panic among its wealthier citizens, especially parents. In one six-day period, there were twenty-four abductions, leading many to hire bodyguards for their children. Into this world enters John Creasy, a burned-out ex-CIA operative/assassin, who has given up on life. Creasy's friend Rayburn brings him to Mexico City to be a bodyguard to nine-year-old Pita Ramos, daughter of industrialist Samuel Ramos and his wife Lisa. Creasy is not interested in being a bodyguard, especially to a youngster, but for lack of something better to do, he accepts the assignment. Creasy barely tolerates the precocious child and her pestering questions about him and his life. But slowly, she chips away at his seemingly impenetrable exterior, his defenses drop, and he opens up to her. Creasy's new-found purpose in life is shattered when Pita is kidnapped. Despite being seriously wounded during the kidnapping, he vows to kill anyone ...                ",Man on Fire
